SITE,Transect,Distance from edge (m),Species,Height1(cm),Height2(cm),Height3(cm),Height4(cm),Height5(cm),Height6(cm),Height7(cm),Height8(cm),Height9(cm),Height10(cm),AverageHeight(cm),se,sd,TotalStemCountQ,StemsTaken,StemsWeight(g),WeightQ(g),EstimateBiomass(Kg),Cfactor(0.45),AreaQuadrat(m2),CarbonAGBM(kgC/m2)
GV,1,0,SpAl,54.4,74.7,88.5,42.2,55.7,73.9,72.4,71.1,53.6,61.2,64.77,4.320597952,13.17316468,33,10,30.58,100.914,0.100914,0.45,0.09,0.50457
GV,1,1,SpAl,56.3,61,71.2,53.3,68.8,60.5,64.2,46.9,29.3,11.8,52.33,5.896704353,18.59529215,68,10,22.89,155.652,0.155652,0.45,0.09,0.77826
GV,1,2,SpAl,61.3,43.6,53.6,51.9,43,48.4,36.6,45.6,35.8,42.5,46.23,2.475347338,5.789315926,78,10,16.16,126.048,0.126048,0.45,0.09,0.63024
GV,1,5,SpAl,31.5,60.5,53.1,46.5,56.9,34.4,28.6,14.2,15.4,10.2,35.13,5.845188905,18.44049412,44,10,7.28,32.032,0.032032,0.45,0.09,0.16016
GV,1,10,SpAl,22,33.2,33.7,22.3,27.8,28.4,32.6,31.1,25.7,20.9,27.77,1.542584412,4.441456343,48,10,3.32,15.936,0.015936,0.45,0.09,0.07968
GV,1,20,SpAl,22.1,23.6,16.8,28.1,23.2,28.9,22,17.5,20.3,12.5,21.5,1.587310794,5.015132656,78,10,0,0,0,0.45,0.09,0
GV,1,40,SpAl,38.2,51.1,48.4,40,54.6,25.6,24.9,19.7,23.1,19.8,34.54,4.285847511,13.49250343,39,10,6.8,26.52,0.02652,0.45,0.09,0.1326
GV,2,0,SpAl,87.5,64.5,101.4,57.7,44.6,75.1,67.6,64.8,62,71.2,69.64,4.990951813,14.49515797,40,10,35.32,141.28,0.14128,0.45,0.09,0.7064
GV,2,1,SpAl,37.9,44.5,35.6,30.2,42.4,25.2,19,26.2,14.1,21.3,29.64,3.237804469,9.823179164,39,10,4.2,16.38,0.01638,0.45,0.09,0.0819
GV,2,2,SpAl,35.1,40.5,28.7,33.6,36.1,30,29.5,37.9,29.1,30.6,33.11,1.313303722,4.094344202,59,10,4.94,29.146,0.029146,0.45,0.09,0.14573
GV,2,5,SpAl,64.3,36.5,39.6,34.5,37.6,34.8,33,39,37.4,45.9,40.26,2.899892718,3.668639469,79,10,7.72,60.988,0.060988,0.45,0.09,0.30494
GV,2,10,DiSpi,14.2,31.5,21.9,18.3,34.1,30,33.4,19.6,35.5,29.4,26.79,2.40020601,6.183581217,170,10,1.5,25.5,0.0255,0.45,0.09,0.1275
GV,2,10,SpPat,23.5,33.6,21.1,45.4,45.9,42.2,43.6,16.7,32.1,28,33.21,3.400080064,10.20205039,11,10,1.46,1.606,0.001606,0.45,0.09,0.00803
GV,2,20,SpAl,39.4,33.4,39.6,40.6,33.5,30.3,41.6,29.2,24,24.7,33.63,2.06640052,6.215382441,61,10,5.93,36.173,0.036173,0.45,0.09,0.180865
GV,2,40,JuRo,104.2,94.5,79.1,96.4,89,78.1,98.3,102.2,84.4,89.5,91.57,2.884751097,7.982567187,104,10,15.15,157.56,0.15756,0.45,0.09,0.7878
GV,3,0,SpAl,58.7,59.2,67.7,70.4,59.5,59.8,66.5,55.4,83,70.4,65.06,2.613222787,7.95898821,54,10,38.67,208.818,0.208818,0.45,0.09,1.04409
GV,3,1,SpAl,68.2,62,39.8,42,48.2,49.4,69.4,67.6,49.4,69.9,56.59,3.793399238,11.28823227,33,10,24.22,79.926,0.079926,0.45,0.09,0.39963
GV,3,2,SpAl,47.8,38.4,52.5,53.8,48.1,41,46,30.2,69,49.7,47.65,3.263612518,10.32031573,76,10,13.97,106.172,0.106172,0.45,0.09,0.53086
GV,3,5,SpAl,35.9,57.5,52.9,66.8,43.4,79.9,48.8,33.6,64.6,46,52.94,4.590332837,13.23717929,40,10,21.66,86.64,0.08664,0.45,0.09,0.4332
GV,3,10,SpAl,63.1,74,60.8,42.8,66,71.7,48,20,45.5,54.8,54.67,5.133962083,15.96527346,66,10,15.48,102.168,0.102168,0.45,0.09,0.51084
GV,3,20,SpAl,65.4,25.7,62.3,24.7,69.6,63.3,75.8,18.3,24.1,18.6,44.78,7.626631702,23.01495446,25,10,15.01,37.525,0.037525,0.45,0.09,0.187625
GV,3,40,SpAl,18,79.1,76.7,63.7,69.2,65.4,44.6,69.2,58.5,21,56.54,6.880345599,17.08364793,40,10,18.13,72.52,0.07252,0.45,0.09,0.3626
GV,1,-1,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-2,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-1,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-2,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-1,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-2,SpAl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-1,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-2,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-1,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-2,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-1,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-2,JuRo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-1,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-2,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-1,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-2,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-1,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-2,DiSpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-1,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,1,-2,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-1,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,2,-2,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-1,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV,3,-2,SpPat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
