site_id,transect_id,Distance from edge (m),core_section,root_type,bag_weight_g,wet_weight_g,dry_weight_g,dry_roots_weight_g,g_m2
GV,1,-2,A(0-10),ALIVE,0,0,0,0,
GV,1,-2,A(0-10),DEAD,2.5216,3.724,2.7464,0.2248,
GV,1,-2,B(10-20),ALIVE,0,0,0,0,
GV,1,-2,B(10-20),DEAD,2.5543,3.2066,2.6685,0.1142,
GV,1,-2,C(20-30),ALIVE,0,0,0,0,
GV,1,-2,C(20-30),DEAD,2.55,2.56,2.5316,0,
GV,1,-1,A(0-10),ALIVE,0,0,0,0,
GV,1,-1,A(0-10),DEAD,2.533,8.565,3.6081,1.0751,
GV,1,-1,B(10-20),ALIVE,0,0,0,0,
GV,1,-1,B(10-20),DEAD,6.12,0,6.17,0.05,
GV,1,-1,C(20-30),ALIVE,0,0,0,0,
GV,1,-1,C(20-30),DEAD,0,0,0,0,
GV,1,0,A(0-10),ALIVE,2.5159,3.8854,2.7008,0.1849,
GV,1,0,A(0-10),DEAD,6.14,77.64,13.17,7.03,
GV,1,0,B(10-20),ALIVE,2.5339,3.426,2.6196,0.0857,
GV,1,0,B(10-20),DEAD,5.9,23.04,7.8,1.9,
GV,1,0,C(20-30),ALIVE,2.514,3.255,2.576,0.062,
GV,1,0,C(20-30),DEAD,6.04,19.08,6.87,0.83,
GV,1,1,A(0-10),ALIVE,6.08,16.96,7.24,1.16,
GV,1,1,A(0-10),DEAD,5.94,54.09,9.99,4.05,
GV,1,1,B(10-20),ALIVE,2.507,4.222,2.6432,0.1362,
GV,1,1,B(10-20),DEAD,6.2,49.27,9.51,3.31,
GV,1,1,C(20-30),ALIVE,2.521,5.223,2.789,0.268,
GV,1,1,C(20-30),DEAD,6.14,61.22,9.54,3.4,
GV,1,2,A(0-10),ALIVE,6.2,16.9,7.44,1.24,
GV,1,2,A(0-10),DEAD,6.17,161.04,17.72,11.55,
GV,1,2,B(10-20),ALIVE,6.2,21.27,7.57,1.37,
GV,1,2,B(10-20),DEAD,6.26,187.61,24,17.74,
GV,1,2,C(20-30),ALIVE,2.5238,3.6287,2.6223,0.0985,
GV,1,2,C(20-30),DEAD,6.08,64.12,9.41,3.33,
GV,1,5,A(0-10),ALIVE,2.5898,7.3751,3.1984,0.6086,
GV,1,5,A(0-10),DEAD,6.08,118.01,15.74,9.66,
GV,1,5,B(10-20),ALIVE,2.5004,6.2947,2.9041,0.4037,
GV,1,5,B(10-20),DEAD,6.06,97.97,15.05,8.99,
GV,1,5,C(20-30),ALIVE,2.534,4.288,2.6956,0.1616,
GV,1,5,C(20-30),DEAD,6.09,41.11,9.37,3.28,
GV,1,10,A(0-10),ALIVE,2.5669,18.5224,4.731,2.1641,
GV,1,10,A(0-10),DEAD,6.15,100.06,16.82,10.67,
GV,1,10,B(10-20),ALIVE,2.5596,9.69,3.3137,0.7541,
GV,1,10,B(10-20),DEAD,6.2,54.72,11.78,5.58,
GV,1,10,C(20-30),ALIVE,2.59,2.84,2.6149,0.0249,
GV,1,10,C(20-30),DEAD,6.24,22.86,6.87,0.63,
GV,1,20,A(0-10),ALIVE,2.47,2.7041,2.726,0.256,
GV,1,20,A(0-10),DEAD,6.03,109.46,17.29,11.26,
GV,1,20,B(10-20),ALIVE,2.547,4.219,2.6592,0.1122,
GV,1,20,B(10-20),DEAD,6.23,48.28,9.38,3.15,
GV,1,20,C(20-30),ALIVE,2.519,2.973,2.6022,0.0832,
GV,1,20,C(20-30),DEAD,6.08,32.26,8.47,2.39,
GV,1,40,A(0-10),ALIVE,2.5207,8.446,3.0729,0.5522,
GV,1,40,A(0-10),DEAD,6.07,130.08,16.79,10.72,
GV,1,40,B(10-20),ALIVE,2.62,6.87,2.9659,0.3459,
GV,1,40,B(10-20),DEAD,6.29,77.53,12.3,6.01,
GV,1,40,C(20-30),ALIVE,0,0,0,0,
GV,1,40,C(20-30),DEAD,6.05,0,7.2,1.15,
GV,2,-2,A(0-10),ALIVE,0,0,0,0,
GV,2,-2,A(0-10),DEAD,2.5635,5.3984,2.8066,0.2431,
GV,2,-2,B(10-20),ALIVE,0,0,0,0,
GV,2,-2,B(10-20),DEAD,2.5177,3.849,2.6444,0.1267,
GV,2,-2,C(20-30),ALIVE,0,0,0,0,
GV,2,-2,C(20-30),DEAD,2.511,2.778,2.5954,0.0844,
GV,2,-1,A(0-10),ALIVE,0,0,0,0,
GV,2,-1,A(0-10),DEAD,2.5624,6.2721,2.8939,0.3315,
GV,2,-1,B(10-20),ALIVE,0,0,0,0,
GV,2,-1,B(10-20),DEAD,2.512,3.612,2.6589,0.1469,
GV,2,-1,C(20-30),ALIVE,0,0,0,0,
GV,2,-1,C(20-30),DEAD,2.526,2.6079,2.5499,0.0239,
GV,2,0,A(0-10),ALIVE,2.553,8.0657,2.9569,0.4039,
GV,2,0,A(0-10),DEAD,6.75,26.12,7.01,0.26,
GV,2,0,B(10-20),ALIVE,2.251,4.557,2.8081,0.5571,
GV,2,0,B(10-20),DEAD,6.1,13.68,7.17,1.07,
GV,2,0,C(20-30),ALIVE,2.615,2.792,2.6546,0.0396,
GV,2,0,C(20-30),DEAD,2.651,3.56,2.7172,0.0662,
GV,2,1,A(0-10),ALIVE,2.569,5.6931,2.8986,0.3296,
GV,2,1,A(0-10),DEAD,6.09,53.65,10.21,4.12,
GV,2,1,B(10-20),ALIVE,2.543,2.8675,2.689,0.146,
GV,2,1,B(10-20),DEAD,6.14,18.89,6.89,0.75,
GV,2,1,C(20-30),ALIVE,2.54,1.78,2.5243,0,
GV,2,1,C(20-30),DEAD,2.56,8.6,2.7942,0.2342,
GV,2,2,A(0-10),ALIVE,6.1,26.6,8.46,2.36,
GV,2,2,A(0-10),DEAD,6.15,66.61,11.16,5.01,
GV,2,2,B(10-20),ALIVE,2.5052,12.9761,3.419,0.9138,
GV,2,2,B(10-20),DEAD,6.13,20.72,7.44,1.31,
GV,2,2,C(20-30),ALIVE,2.5456,3.505,2.6219,0.0763,
GV,2,2,C(20-30),DEAD,2.5416,11.3316,3.166,0.6244,
GV,2,5,A(0-10),ALIVE,6.12,26.23,8.19,2.07,
GV,2,5,A(0-10),DEAD,6.15,64.98,11.08,4.93,
GV,2,5,B(10-20),ALIVE,2.6237,4.3771,2.7308,0.1071,
GV,2,5,B(10-20),DEAD,6.14,53.78,10.45,4.31,
GV,2,5,C(20-30),ALIVE,2.5478,4.5105,2.726,0.1782,
GV,2,5,C(20-30),DEAD,6.02,21.21,7.22,1.2,
GV,2,10,A(0-10),ALIVE,6.06,70.8,19.72,13.66,
GV,2,10,A(0-10),DEAD,6.14,123.77,22.27,16.13,
GV,2,10,B(10-20),ALIVE,2.6251,3.3787,2.6371,0.012,
GV,2,10,B(10-20),DEAD,6.12,57.5,13,6.88,
GV,2,10,C(20-30),ALIVE,2.5064,4.36039,2.882,0.3756,
GV,2,10,C(20-30),DEAD,6.02,18.17,7.54,1.52,
GV,2,20,A(0-10),ALIVE,2.5995,7.7139,3.1598,0.5603,
GV,2,20,A(0-10),DEAD,6.09,58.14,10.46,4.37,
GV,2,20,B(10-20),ALIVE,6.11,9.82,6.46,0.35,
GV,2,20,B(10-20),DEAD,6.17,36.73,9.79,3.62,
GV,2,20,C(20-30),ALIVE,2.606,4.2166,2.7612,0.1552,
GV,2,20,C(20-30),DEAD,6.1,26.05,7.61,1.51,
GV,2,40,A(0-10),ALIVE,6.1,37.55,11.86,5.76,
GV,2,40,A(0-10),DEAD,6.18,52.31,9.48,3.3,
GV,2,40,B(10-20),ALIVE,2.5475,10.0615,3.3617,0.8142,
GV,2,40,B(10-20),DEAD,6.15,51.84,9.26,3.11,
GV,2,40,C(20-30),ALIVE,2.5749,3.2821,2.6117,0.0368,
GV,2,40,C(20-30),DEAD,6.05,103.12,11.99,5.94,
GV,3,-2,A(0-10),ALIVE,0,0,0,0,
GV,3,-2,A(0-10),DEAD,0,0,0,0,
GV,3,-2,B(10-20),ALIVE,0,0,0,0,
GV,3,-2,B(10-20),DEAD,0,0,0,0,
GV,3,-2,C(20-30),ALIVE,0,0,0,0,
GV,3,-2,C(20-30),DEAD,0,0,0,0,
GV,3,-1,A(0-10),ALIVE,0,0,0,0,
GV,3,-1,A(0-10),DEAD,6.18,19.22,7.12,0.94,
GV,3,-1,B(10-20),ALIVE,0,0,0,0,
GV,3,-1,B(10-20),DEAD,2.5575,4.9692,2.7895,0.232,
GV,3,-1,C(20-30),ALIVE,0,0,0,0,
GV,3,-1,C(20-30),DEAD,2.5231,3.6713,2.6312,0.1081,
GV,3,0,A(0-10),ALIVE,2.5032,2.8206,2.5817,0.0785,
GV,3,0,A(0-10),DEAD,6.12,46.98,10.26,4.14,
GV,3,0,B(10-20),ALIVE,2.5387,4.0374,2.7416,0.2029,
GV,3,0,B(10-20),DEAD,6.08,112.56,12.79,6.71,
GV,3,0,C(20-30),ALIVE,2.5344,3.8915,2.6229,0.0885,
GV,3,0,C(20-30),DEAD,6.07,56.9,11,4.93,
GV,3,1,A(0-10),ALIVE,6.17,12.7,6.6,0.43,
GV,3,1,A(0-10),DEAD,6.09,36.72,8.57,2.48,
GV,3,1,B(10-20),ALIVE,6.15,18.57,7.39,1.24,
GV,3,1,B(10-20),DEAD,6.15,110.66,12.87,6.72,
GV,3,1,C(20-30),ALIVE,2.5985,2.8031,2.5773,0,
GV,3,1,C(20-30),DEAD,6.33,91.34,11.41,5.08,
GV,3,2,A(0-10),ALIVE,2.5724,4.92,2.7201,0.1477,
GV,3,2,A(0-10),DEAD,6.3,86.16,11.27,4.97,
GV,3,2,B(10-20),ALIVE,2.5627,5.8446,2.774,0.2113,
GV,3,2,B(10-20),DEAD,6.24,168.14,16.81,10.57,
GV,3,2,C(20-30),ALIVE,2.6074,4.5165,2.7054,0.098,
GV,3,2,C(20-30),DEAD,6.19,79.49,11.23,5.04,
GV,3,5,A(0-10),ALIVE,2.54,8.1441,3.0545,0.5145,
GV,3,5,A(0-10),DEAD,6.16,82.21,11.76,5.6,
GV,3,5,B(10-20),ALIVE,2.5406,9.2556,3.0325,0.4919,
GV,3,5,B(10-20),DEAD,6.15,103.78,12.32,6.17,
GV,3,5,C(20-30),ALIVE,0,0,0,0,
GV,3,5,C(20-30),DEAD,6.14,66.04,9.47,3.33,
GV,3,10,A(0-10),ALIVE,6.17,31.38,8.39,2.22,
GV,3,10,A(0-10),DEAD,6.13,50.77,9.85,3.72,
GV,3,10,B(10-20),ALIVE,2.5776,9.2557,3.1549,0.5773,
GV,3,10,B(10-20),DEAD,6.27,53.15,8.42,2.15,
GV,3,10,C(20-30),ALIVE,2.5813,4.4645,2.6982,0.1169,
GV,3,10,C(20-30),DEAD,6.18,45.34,7.96,1.78,
GV,3,20,A(0-10),ALIVE,6.08,32.9,8.32,2.24,
GV,3,20,A(0-10),DEAD,6.12,47.38,9.6,3.48,
GV,3,20,B(10-20),ALIVE,2.5645,4.1011,2.6723,0.1078,
GV,3,20,B(10-20),DEAD,6.22,93.26,11.76,5.54,
GV,3,20,C(20-30),ALIVE,2.519,2.8645,2.5926,0.0736,
GV,3,20,C(20-30),DEAD,6.07,55.38,9.14,3.07,
GV,3,40,A(0-10),ALIVE,6.11,24.12,7.53,1.42,
GV,3,40,A(0-10),DEAD,6.2,87.23,11.02,4.82,
GV,3,40,B(10-20),ALIVE,2.5349,7.0729,2.8063,0.2714,
GV,3,40,B(10-20),DEAD,6.13,110.26,10.97,4.84,
GV,3,40,C(20-30),ALIVE,6.02,18.27,8.76,2.74,
GV,3,40,C(20-30),DEAD,6.03,21.64,8.02,1.99,
MAC,1,-2,A(0-10),ALIVE,0,0,0,0,
MAC,1,-2,A(0-10),DEAD,6.18,12.62,6.58,0.4,
MAC,1,-2,B(10-20),ALIVE,0,0,0,0,
MAC,1,-2,B(10-20),DEAD,2.51,5.35,2.8065,0.2965,
MAC,1,-2,C(20-30),ALIVE,0,0,0,0,
MAC,1,-2,C(20-30),DEAD,2.5327,6.5,3.04,0.5073,
MAC,1,-1,A(0-10),ALIVE,2.5526,2.7644,2.5829,0.0303,
MAC,1,-1,A(0-10),DEAD,6.09,13.39,6.66,0.57,
MAC,1,-1,B(10-20),ALIVE,0,0,0,0,
MAC,1,-1,B(10-20),DEAD,6.11,36.79,9.66,3.55,
MAC,1,-1,C(20-30),ALIVE,2.5564,5.46,2.7295,0.1731,
MAC,1,-1,C(20-30),DEAD,2.5228,15.3791,3.8868,1.364,
MAC,1,0,A(0-10),ALIVE,2.5888,2.7549,2.5908,0.002,
MAC,1,0,A(0-10),DEAD,5.99,63.7,10.33,4.34,
MAC,1,0,B(10-20),ALIVE,2.5435,2.6761,2.5469,0.0034,
MAC,1,0,B(10-20),DEAD,2.5626,47.87,7.7959,5.2333,
MAC,1,0,C(20-30),ALIVE,2.534,3.0997,2.6837,0.1497,
MAC,1,0,C(20-30),DEAD,6.22,14.52,6.55,0.33,
MAC,1,1,A(0-10),ALIVE,2.5141,3.2377,2.5287,0.0146,
MAC,1,1,A(0-10),DEAD,6.04,35.62,7.79,1.75,
MAC,1,1,B(10-20),ALIVE,2.5885,3.1972,2.6686,0.0801,
MAC,1,1,B(10-20),DEAD,2.5634,42.5285,4.9836,2.4202,
MAC,1,1,C(20-30),ALIVE,2.4979,2.6406,2.5199,0.022,
MAC,1,1,C(20-30),DEAD,2.5376,14.3693,3.6001,1.0625,
MAC,1,2,A(0-10),ALIVE,6.24,15.25,6.98,0.74,
MAC,1,2,A(0-10),DEAD,6.18,168.61,23.47,17.29,
MAC,1,2,B(10-20),ALIVE,2.5299,5.6307,2.7365,0.2066,
MAC,1,2,B(10-20),DEAD,6.13,97.07,16.26,10.13,
MAC,1,2,C(20-30),ALIVE,2.5443,2.8332,2.6188,0.0745,
MAC,1,2,C(20-30),DEAD,6.02,22.35,6.79,0.77,
MAC,1,5,A(0-10),ALIVE,6.16,22.52,7.85,1.69,
MAC,1,5,A(0-10),DEAD,6.16,51.53,9.72,3.56,
MAC,1,5,B(10-20),ALIVE,6.28,18.59,7.27,0.99,
MAC,1,5,B(10-20),DEAD,6.16,136.24,22.2,16.04,
MAC,1,5,C(20-30),ALIVE,2.5582,4.4059,2.7144,0.1562,
MAC,1,5,C(20-30),DEAD,6.13,103.8,16.81,10.68,
MAC,1,10,A(0-10),ALIVE,6.47,21.74,7.93,1.46,
MAC,1,10,A(0-10),DEAD,6.47,112.24,15.87,9.4,
MAC,1,10,B(10-20),ALIVE,2.5139,17.579,4.3429,1.829,
MAC,1,10,B(10-20),DEAD,6.06,73.29,11.45,5.39,
MAC,1,10,C(20-30),ALIVE,2.5383,6.2792,2.8963,0.358,
MAC,1,10,C(20-30),DEAD,2.5841,35.72,5.8631,3.279,
MAC,1,20,A(0-10),ALIVE,2.564,13.583,3.7152,1.1512,
MAC,1,20,A(0-10),DEAD,6.03,85.94,11.21,5.18,
MAC,1,20,B(10-20),ALIVE,2.6112,6.7464,3.2002,0.589,
MAC,1,20,B(10-20),DEAD,6.01,79.43,11.62,5.61,
MAC,1,20,C(20-30),ALIVE,2.5623,4.8076,2.702,0.1397,
MAC,1,20,C(20-30),DEAD,6.18,92.7,13.26,7.08,
MAC,1,40,A(0-10),ALIVE,2.5361,4.9557,2.6766,0.1405,
MAC,1,40,A(0-10),DEAD,6.03,74.53,9.76,3.73,
MAC,1,40,B(10-20),ALIVE,2.5276,9.9923,3.1443,0.6167,
MAC,1,40,B(10-20),DEAD,6.17,76.44,12.77,6.6,
MAC,1,40,C(20-30),ALIVE,2.5564,5.46,2.7295,0.1731,
MAC,1,40,C(20-30),DEAD,6.03,41.99,10.63,4.6,
MAC,2,-2,A(0-10),ALIVE,0,0,0,0,
MAC,2,-2,A(0-10),DEAD,2.5799,4.4077,2.723,0.1431,
MAC,2,-2,B(10-20),ALIVE,0,0,0,0,
MAC,2,-2,B(10-20),DEAD,2.51,5.35,2.8065,0.2965,
MAC,2,-2,C(20-30),ALIVE,0,0,0,0,
MAC,2,-2,C(20-30),DEAD,2.5819,6.4527,2.9605,0.3786,
MAC,2,-1,A(0-10),ALIVE,0,0,0,0,
MAC,2,-1,A(0-10),DEAD,2.6081,8.4713,3.1705,0.5624,
MAC,2,-1,B(10-20),ALIVE,0,0,0,0,
MAC,2,-1,B(10-20),DEAD,2.5793,14.5387,3.801,1.2217,
MAC,2,-1,C(20-30),ALIVE,0,0,0,0,
MAC,2,-1,C(20-30),DEAD,6.12,24.13,7.88,1.76,
MAC,2,0,A(0-10),ALIVE,2.5519,9.717,3.1858,0.6339,
MAC,2,0,A(0-10),DEAD,6.04,41.27,7.88,1.84,
MAC,2,0,B(10-20),ALIVE,2.5,5.4,2.6219,0.1219,
MAC,2,0,B(10-20),DEAD,6.02,33.7,9.25,3.23,
MAC,2,0,C(20-30),ALIVE,0,0,0,0,
MAC,2,0,C(20-30),DEAD,0,0,0,0,
MAC,2,1,A(0-10),ALIVE,2.5366,8.326,3.2349,0.6983,
MAC,2,1,A(0-10),DEAD,6.04,35.43,8.63,2.59,
MAC,2,1,B(10-20),ALIVE,2.552,11.36,3.863,1.311,
MAC,2,1,B(10-20),DEAD,6.02,18.64,6.94,0.92,
MAC,2,1,C(20-30),ALIVE,2.51,3.184,2.5462,0.0362,
MAC,2,1,C(20-30),DEAD,6.22,14.16,6.5,0.28,
MAC,2,2,A(0-10),ALIVE,2.5698,9.375,3.533,0.9632,
MAC,2,2,A(0-10),DEAD,6.04,84.07,14.42,8.38,
MAC,2,2,B(10-20),ALIVE,2.56,6.01,2.7905,0.2305,
MAC,2,2,B(10-20),DEAD,5.98,63.7,16.31,10.33,
MAC,2,2,C(20-30),ALIVE,0,0,0,0,
MAC,2,2,C(20-30),DEAD,6.33,47.47,9.89,3.56,
MAC,2,5,A(0-10),ALIVE,2.5979,2.6595,2.6123,0.0144,
MAC,2,5,A(0-10),DEAD,6.1,22.27,7.61,1.51,
MAC,2,5,B(10-20),ALIVE,2.555,2.7959,2.7002,0.1452,
MAC,2,5,B(10-20),DEAD,6.03,79.52,13.11,7.08,
MAC,2,5,C(20-30),ALIVE,2.501,5.0111,2.7399,0.2389,
MAC,2,5,C(20-30),DEAD,6.05,35.57,7.71,1.66,
MAC,2,10,A(0-10),ALIVE,2.521,5.2009,2.6819,0.1609,
MAC,2,10,A(0-10),DEAD,6.07,44.96,12.09,6.02,
MAC,2,10,B(10-20),ALIVE,2.565,6.06,2.8337,0.2687,
MAC,2,10,B(10-20),DEAD,6.01,40.43,10.36,4.35,
MAC,2,10,C(20-30),ALIVE,2.6269,9.83,3.5242,0.8973,
MAC,2,10,C(20-30),DEAD,6.06,21.01,8.82,2.76,
MAC,2,20,A(0-10),ALIVE,2.618,18.21,4.714,2.096,
MAC,2,20,A(0-10),DEAD,6.06,52.22,12.66,6.6,
MAC,2,20,B(10-20),ALIVE,2.551,13.94,3.9348,1.3838,
MAC,2,20,B(10-20),DEAD,6.04,56.83,9.54,3.5,
MAC,2,20,C(20-30),ALIVE,2.551,3.125,2.6233,0.0723,
MAC,2,20,C(20-30),DEAD,6.02,39.78,8.88,2.86,
MAC,2,40,A(0-10),ALIVE,6.01,29.75,10.31,4.3,
MAC,2,40,A(0-10),DEAD,2.581,18.4795,4.0923,1.5113,
MAC,2,40,B(10-20),ALIVE,2.554,4.5932,2.8655,0.3115,
MAC,2,40,B(10-20),DEAD,6.03,85.26,14.16,8.13,
MAC,2,40,C(20-30),ALIVE,2.5505,4.299,3.2103,0.6598,
MAC,2,40,C(20-30),DEAD,5.97,35.33,9.72,3.75,
MAC,3,-2,A(0-10),ALIVE,0,0,0,0,
MAC,3,-2,A(0-10),DEAD,6.04,18.7,7.2,1.16,
MAC,3,-2,B(10-20),ALIVE,0,0,0,0,
MAC,3,-2,B(10-20),DEAD,6.04,46.99,8.92,2.88,
MAC,3,-2,C(20-30),ALIVE,0,0,0,0,
MAC,3,-2,C(20-30),DEAD,6.03,30.87,8.38,2.35,
MAC,3,-1,A(0-10),ALIVE,0,0,0,0,
MAC,3,-1,A(0-10),DEAD,6.05,25.03,7.53,1.48,
MAC,3,-1,B(10-20),ALIVE,0,0,0,0,
MAC,3,-1,B(10-20),DEAD,5.99,46.55,9.2,3.21,
MAC,3,-1,C(20-30),ALIVE,2.539,2.708,2.5567,0.0177,
MAC,3,-1,C(20-30),DEAD,6.01,8.78,6.19,0.18,
MAC,3,0,A(0-10),ALIVE,2.5352,16.2088,3.7073,1.1721,
MAC,3,0,A(0-10),DEAD,6.07,43.06,10.7,4.63,
MAC,3,0,B(10-20),ALIVE,2.526,3.0592,2.5853,0.0593,
MAC,3,0,B(10-20),DEAD,6.11,16.93,6.93,0.82,
MAC,3,0,C(20-30),ALIVE,2.568,2.69,2.5749,0.0069,
MAC,3,0,C(20-30),DEAD,6.71,9.79,6.26,0,
MAC,3,1,A(0-10),ALIVE,2.6189,8.2807,3.0578,0.4389,
MAC,3,1,A(0-10),DEAD,6.1,70.81,12.93,6.83,
MAC,3,1,B(10-20),ALIVE,2.5983,3.0063,2.6011,0.0028,
MAC,3,1,B(10-20),DEAD,6.07,58.77,11.01,4.94,
MAC,3,1,C(20-30),ALIVE,0,0,0,0,
MAC,3,1,C(20-30),DEAD,6.06,67.31,9.78,3.72,
MAC,3,2,A(0-10),ALIVE,2.5547,4.0338,2.6724,0.1177,
MAC,3,2,A(0-10),DEAD,6.09,126.31,17.98,11.89,
MAC,3,2,B(10-20),ALIVE,2.5899,2.8877,2.5989,0.009,
MAC,3,2,B(10-20),DEAD,6.08,62.82,12,5.92,
MAC,3,2,C(20-30),ALIVE,2.5594,2.7626,2.5373,0,
MAC,3,2,C(20-30),DEAD,6.05,47.93,10.4,4.35,
MAC,3,5,A(0-10),ALIVE,2.516,5.6102,3.1407,0.6247,
MAC,3,5,A(0-10),DEAD,6.05,32.65,10.09,4.04,
MAC,3,5,B(10-20),ALIVE,2.539,4.7095,2.8238,0.2848,
MAC,3,5,B(10-20),DEAD,6.06,42.24,10.35,4.29,
MAC,3,5,C(20-30),ALIVE,2.567,4.28,2.697,0.13,
MAC,3,5,C(20-30),DEAD,6.11,48.23,12.25,6.14,
MAC,3,10,A(0-10),ALIVE,6.13,35.76,9.95,3.82,
MAC,3,10,A(0-10),DEAD,6.05,79.68,15.5,9.45,
MAC,3,10,B(10-20),ALIVE,6.04,22.26,8.16,2.12,
MAC,3,10,B(10-20),DEAD,6.03,98.88,12.44,6.41,
MAC,3,10,C(20-30),ALIVE,2.5395,4.5318,2.6642,0.1247,
MAC,3,10,C(20-30),DEAD,6.03,38.65,9.25,3.22,
MAC,3,20,A(0-10),ALIVE,2.5635,16.3356,4.3324,1.7689,
MAC,3,20,A(0-10),DEAD,6.11,117.7,17.88,11.77,
MAC,3,20,B(10-20),ALIVE,2.536,6.3889,2.8614,0.3254,
MAC,3,20,B(10-20),DEAD,6.01,87.88,15.14,9.13,
MAC,3,20,C(20-30),ALIVE,2.5229,4.4722,2.6398,0.1169,
MAC,3,20,C(20-30),DEAD,6.04,68.83,14.77,8.73,
MAC,3,40,A(0-10),ALIVE,2.5231,11.8186,3.5833,1.0602,
MAC,3,40,A(0-10),DEAD,6.06,83.6,13.8,7.74,
MAC,3,40,B(10-20),ALIVE,2.5399,7.6867,2.9201,0.3802,
MAC,3,40,B(10-20),DEAD,6.09,100.41,18.13,12.04,
MAC,3,40,C(20-30),ALIVE,2.543,3.3336,2.555,0.012,
MAC,3,40,C(20-30),DEAD,6.05,41.8,11.64,5.59,
